Fitting 3 folds for each of 10 candidates, totalling 30 fits
  epoch    train_loss      dur
-------  ------------  -------
      1        3.1395  21.3208
      2        0.4413  19.6205
      3        0.4423  19.6675
      4        0.4229  19.6607
      5        0.4078  19.4346
      6        0.4056  19.7996
      7        0.3859  19.3451
      8        0.3854  19.0462
      9        0.3858  19.7811
     10        0.3781  19.3689
[CV] END lr=0.04245401188473625, optimizer__weight_decay=0.0009607143064099162; total time= 3.4min
  epoch    train_loss      dur
-------  ------------  -------
      1        3.0642  20.1502
      2        0.4586  19.4005
      3        0.4226  19.2990
      4        0.4198  19.0788
      5        0.4050  20.3393
      6        0.4040  20.3697
      7        0.3968  18.7565
      8        0.3912  19.2643
      9        0.3919  19.0436
     10        0.3941  18.6934
[CV] END lr=0.04245401188473625, optimizer__weight_decay=0.0009607143064099162; total time= 3.4min
  epoch    train_loss      dur
-------  ------------  -------
      1        2.7648  19.6079
      2        0.4959  19.9287
      3        0.4184  19.1138
      4        0.4128  19.7878
      5        0.4050  18.8470
      6        0.4051  18.4061
      7        0.4013  19.2707
      8        0.4021  20.2479
      9        0.4068  19.6748
     10        0.4060  19.2094
[CV] END lr=0.04245401188473625, optimizer__weight_decay=0.0009607143064099162; total time= 3.4min
  epoch    train_loss      dur
-------  ------------  -------
      1        6.5836  20.1202
      2        0.6976  19.5642
      3        0.6957  20.1975
      4        0.6953  20.0820
      5        0.6953  20.4222
      6        0.6953  19.0296
      7        0.6947  18.8672
      8        0.6954  18.9316
      9        0.6944  18.8818
     10        0.6949  18.8510
[CV] END lr=0.07819939418114051, optimizer__weight_decay=0.0006086584841970366; total time= 3.4min
  epoch    train_loss      dur
-------  ------------  -------
      1        7.2867  20.5814
      2        0.6520  19.2032
      3        0.5871  18.9856
      4        0.5358  19.1073
      5        0.5181  19.1919
      6        0.4931  19.0542
      7        0.4817  18.8153
      8        0.4774  19.2056
      9        0.4704  19.6469
     10        0.4774  19.5481
[CV] END lr=0.07819939418114051, optimizer__weight_decay=0.0006086584841970366; total time= 3.3min
  epoch    train_loss      dur
-------  ------------  -------
      1        8.4767  19.9776
      2        0.6940  19.3402
      3        0.6948  19.7671
      4        0.6960  19.7833
      5        0.7014  19.7889
      6        0.7005  19.9247
      7        0.6956  19.5335
      8        0.6948  18.7508
      9        0.6966  19.4643
     10        0.6966  19.4045
[CV] END lr=0.07819939418114051, optimizer__weight_decay=0.0006086584841970366; total time= 3.4min
  epoch    train_loss      dur
-------  ------------  -------
      1        1.5401  19.2762
      2        0.5005  19.3896
      3        0.4154  19.2162
      4        0.3868  19.4741
      5        0.3830  19.1811
      6        0.3725  19.6394
      7        0.3677  19.6640
      8        0.3619  19.5555
      9        0.3525  19.6713
     10        0.3523  20.1125
[CV] END lr=0.02060186404424365, optimizer__weight_decay=0.00016599452033620266; total time= 3.3min
  epoch    train_loss      dur
-------  ------------  -------
      1        1.5295  20.3185
      2        0.4831  19.7889
      3        0.4529  19.3397
      4        0.4309  19.8089
      5        0.4175  20.3947
      6        0.4140  19.8843
      7        0.3979  20.2190
      8        0.3844  20.0455
      9        0.3844  19.6885
     10        0.3806  20.0750
[CV] END lr=0.02060186404424365, optimizer__weight_decay=0.00016599452033620266; total time= 3.4min
  epoch    train_loss      dur
-------  ------------  -------
      1        1.5990  21.0505
      2        0.4355  20.4239
      3        0.4068  20.3663
      4        0.3948  19.9818
      5        0.3878  20.2854
      6        0.3860  19.9946
      7        0.3759  19.9489
      8        0.3692  20.0607
      9        0.3542  20.4327
     10        0.3561  20.3947
[CV] END lr=0.02060186404424365, optimizer__weight_decay=0.00016599452033620266; total time= 3.5min
  epoch    train_loss      dur
-------  ------------  -------
      1        0.8816  21.0941
      2        0.4359  19.9306
      3        0.4234  20.1842
      4        0.3952  19.9793
      5        0.3841  20.4473
      6        0.3793  19.8771
      7        0.3685  20.7732
      8        0.3636  19.8061
      9        0.3634  19.4445
     10        0.3548  19.4868
[CV] END lr=0.010808361216819946, optimizer__weight_decay=0.0008761761457749352; total time= 3.5min
